"id","module_id:id","serie_id:id","is_odoo_community_addon"
"odoo_community_module__account__yodoo_serie__8_0","odoo_community_module__account","yodoo_serie__8_0","True"
"odoo_community_module__account_accountant__yodoo_serie__8_0","odoo_community_module__account_accountant","yodoo_serie__8_0","True"
"odoo_community_module__account_analytic_analysis__yodoo_serie__8_0","odoo_community_module__account_analytic_analysis","yodoo_serie__8_0","True"
"odoo_community_module__account_analytic_default__yodoo_serie__8_0","odoo_community_module__account_analytic_default","yodoo_serie__8_0","True"
"odoo_community_module__account_analytic_plans__yodoo_serie__8_0","odoo_community_module__account_analytic_plans","yodoo_serie__8_0","True"
"odoo_community_module__account_anglo_saxon__yodoo_serie__8_0","odoo_community_module__account_anglo_saxon","yodoo_serie__8_0","True"
"odoo_community_module__account_asset__yodoo_serie__8_0","odoo_community_module__account_asset","yodoo_serie__8_0","True"
"odoo_community_module__account_bank_statement_extensions__yodoo_serie__8_0","odoo_community_module__account_bank_statement_extensions","yodoo_serie__8_0","True"
"odoo_community_module__account_budget__yodoo_serie__8_0","odoo_community_module__account_budget","yodoo_serie__8_0","True"
"odoo_community_module__account_cancel__yodoo_serie__8_0","odoo_community_module__account_cancel","yodoo_serie__8_0","True"
"odoo_community_module__account_chart__yodoo_serie__8_0","odoo_community_module__account_chart","yodoo_serie__8_0","True"
"odoo_community_module__account_check_writing__yodoo_serie__8_0","odoo_community_module__account_check_writing","yodoo_serie__8_0","True"
"odoo_community_module__account_followup__yodoo_serie__8_0","odoo_community_module__account_followup","yodoo_serie__8_0","True"
"odoo_community_module__account_payment__yodoo_serie__8_0","odoo_community_module__account_payment","yodoo_serie__8_0","True"
"odoo_community_module__account_sequence__yodoo_serie__8_0","odoo_community_module__account_sequence","yodoo_serie__8_0","True"
"odoo_community_module__account_test__yodoo_serie__8_0","odoo_community_module__account_test","yodoo_serie__8_0","True"
"odoo_community_module__account_voucher__yodoo_serie__8_0","odoo_community_module__account_voucher","yodoo_serie__8_0","True"
"odoo_community_module__analytic__yodoo_serie__8_0","odoo_community_module__analytic","yodoo_serie__8_0","True"
"odoo_community_module__analytic_contract_hr_expense__yodoo_serie__8_0","odoo_community_module__analytic_contract_hr_expense","yodoo_serie__8_0","True"
"odoo_community_module__analytic_user_function__yodoo_serie__8_0","odoo_community_module__analytic_user_function","yodoo_serie__8_0","True"
"odoo_community_module__anglo_saxon_dropshipping__yodoo_serie__8_0","odoo_community_module__anglo_saxon_dropshipping","yodoo_serie__8_0","True"
"odoo_community_module__anonymization__yodoo_serie__8_0","odoo_community_module__anonymization","yodoo_serie__8_0","True"
"odoo_community_module__association__yodoo_serie__8_0","odoo_community_module__association","yodoo_serie__8_0","True"
"odoo_community_module__auth_crypt__yodoo_serie__8_0","odoo_community_module__auth_crypt","yodoo_serie__8_0","True"
"odoo_community_module__auth_ldap__yodoo_serie__8_0","odoo_community_module__auth_ldap","yodoo_serie__8_0","True"
"odoo_community_module__auth_oauth__yodoo_serie__8_0","odoo_community_module__auth_oauth","yodoo_serie__8_0","True"
"odoo_community_module__auth_openid__yodoo_serie__8_0","odoo_community_module__auth_openid","yodoo_serie__8_0","True"
"odoo_community_module__auth_signup__yodoo_serie__8_0","odoo_community_module__auth_signup","yodoo_serie__8_0","True"
"odoo_community_module__base__yodoo_serie__8_0","odoo_community_module__base","yodoo_serie__8_0","True"
"odoo_community_module__base_action_rule__yodoo_serie__8_0","odoo_community_module__base_action_rule","yodoo_serie__8_0","True"
"odoo_community_module__base_gengo__yodoo_serie__8_0","odoo_community_module__base_gengo","yodoo_serie__8_0","True"
"odoo_community_module__base_geolocalize__yodoo_serie__8_0","odoo_community_module__base_geolocalize","yodoo_serie__8_0","True"
"odoo_community_module__base_iban__yodoo_serie__8_0","odoo_community_module__base_iban","yodoo_serie__8_0","True"
"odoo_community_module__base_import__yodoo_serie__8_0","odoo_community_module__base_import","yodoo_serie__8_0","True"
"odoo_community_module__base_import_module__yodoo_serie__8_0","odoo_community_module__base_import_module","yodoo_serie__8_0","True"
"odoo_community_module__base_report_designer__yodoo_serie__8_0","odoo_community_module__base_report_designer","yodoo_serie__8_0","True"
"odoo_community_module__base_setup__yodoo_serie__8_0","odoo_community_module__base_setup","yodoo_serie__8_0","True"
"odoo_community_module__base_vat__yodoo_serie__8_0","odoo_community_module__base_vat","yodoo_serie__8_0","True"
"odoo_community_module__board__yodoo_serie__8_0","odoo_community_module__board","yodoo_serie__8_0","True"
"odoo_community_module__bus__yodoo_serie__8_0","odoo_community_module__bus","yodoo_serie__8_0","True"
"odoo_community_module__calendar__yodoo_serie__8_0","odoo_community_module__calendar","yodoo_serie__8_0","True"
"odoo_community_module__claim_from_delivery__yodoo_serie__8_0","odoo_community_module__claim_from_delivery","yodoo_serie__8_0","True"
"odoo_community_module__contacts__yodoo_serie__8_0","odoo_community_module__contacts","yodoo_serie__8_0","True"
"odoo_community_module__crm__yodoo_serie__8_0","odoo_community_module__crm","yodoo_serie__8_0","True"
"odoo_community_module__crm_claim__yodoo_serie__8_0","odoo_community_module__crm_claim","yodoo_serie__8_0","True"
"odoo_community_module__crm_helpdesk__yodoo_serie__8_0","odoo_community_module__crm_helpdesk","yodoo_serie__8_0","True"
"odoo_community_module__crm_mass_mailing__yodoo_serie__8_0","odoo_community_module__crm_mass_mailing","yodoo_serie__8_0","True"
"odoo_community_module__crm_partner_assign__yodoo_serie__8_0","odoo_community_module__crm_partner_assign","yodoo_serie__8_0","True"
"odoo_community_module__crm_profiling__yodoo_serie__8_0","odoo_community_module__crm_profiling","yodoo_serie__8_0","True"
"odoo_community_module__crm_project_issue__yodoo_serie__8_0","odoo_community_module__crm_project_issue","yodoo_serie__8_0","True"
"odoo_community_module__decimal_precision__yodoo_serie__8_0","odoo_community_module__decimal_precision","yodoo_serie__8_0","True"
"odoo_community_module__delivery__yodoo_serie__8_0","odoo_community_module__delivery","yodoo_serie__8_0","True"
"odoo_community_module__document__yodoo_serie__8_0","odoo_community_module__document","yodoo_serie__8_0","True"
"odoo_community_module__edi__yodoo_serie__8_0","odoo_community_module__edi","yodoo_serie__8_0","True"
"odoo_community_module__email_template__yodoo_serie__8_0","odoo_community_module__email_template","yodoo_serie__8_0","True"
"odoo_community_module__event__yodoo_serie__8_0","odoo_community_module__event","yodoo_serie__8_0","True"
"odoo_community_module__event_sale__yodoo_serie__8_0","odoo_community_module__event_sale","yodoo_serie__8_0","True"
"odoo_community_module__fetchmail__yodoo_serie__8_0","odoo_community_module__fetchmail","yodoo_serie__8_0","True"
"odoo_community_module__fleet__yodoo_serie__8_0","odoo_community_module__fleet","yodoo_serie__8_0","True"
"odoo_community_module__gamification__yodoo_serie__8_0","odoo_community_module__gamification","yodoo_serie__8_0","True"
"odoo_community_module__gamification_sale_crm__yodoo_serie__8_0","odoo_community_module__gamification_sale_crm","yodoo_serie__8_0","True"
"odoo_community_module__google_account__yodoo_serie__8_0","odoo_community_module__google_account","yodoo_serie__8_0","True"
"odoo_community_module__google_calendar__yodoo_serie__8_0","odoo_community_module__google_calendar","yodoo_serie__8_0","True"
"odoo_community_module__google_drive__yodoo_serie__8_0","odoo_community_module__google_drive","yodoo_serie__8_0","True"
"odoo_community_module__google_spreadsheet__yodoo_serie__8_0","odoo_community_module__google_spreadsheet","yodoo_serie__8_0","True"
"odoo_community_module__hr__yodoo_serie__8_0","odoo_community_module__hr","yodoo_serie__8_0","True"
"odoo_community_module__hr_applicant_document__yodoo_serie__8_0","odoo_community_module__hr_applicant_document","yodoo_serie__8_0","True"
"odoo_community_module__hr_attendance__yodoo_serie__8_0","odoo_community_module__hr_attendance","yodoo_serie__8_0","True"
"odoo_community_module__hr_contract__yodoo_serie__8_0","odoo_community_module__hr_contract","yodoo_serie__8_0","True"
"odoo_community_module__hr_evaluation__yodoo_serie__8_0","odoo_community_module__hr_evaluation","yodoo_serie__8_0","True"
"odoo_community_module__hr_expense__yodoo_serie__8_0","odoo_community_module__hr_expense","yodoo_serie__8_0","True"
"odoo_community_module__hr_gamification__yodoo_serie__8_0","odoo_community_module__hr_gamification","yodoo_serie__8_0","True"
"odoo_community_module__hr_holidays__yodoo_serie__8_0","odoo_community_module__hr_holidays","yodoo_serie__8_0","True"
"odoo_community_module__hr_payroll__yodoo_serie__8_0","odoo_community_module__hr_payroll","yodoo_serie__8_0","True"
"odoo_community_module__hr_payroll_account__yodoo_serie__8_0","odoo_community_module__hr_payroll_account","yodoo_serie__8_0","True"
"odoo_community_module__hr_recruitment__yodoo_serie__8_0","odoo_community_module__hr_recruitment","yodoo_serie__8_0","True"
"odoo_community_module__hr_timesheet__yodoo_serie__8_0","odoo_community_module__hr_timesheet","yodoo_serie__8_0","True"
"odoo_community_module__hr_timesheet_invoice__yodoo_serie__8_0","odoo_community_module__hr_timesheet_invoice","yodoo_serie__8_0","True"
"odoo_community_module__hr_timesheet_sheet__yodoo_serie__8_0","odoo_community_module__hr_timesheet_sheet","yodoo_serie__8_0","True"
"odoo_community_module__hw_blackbox_be__yodoo_serie__8_0","odoo_community_module__hw_blackbox_be","yodoo_serie__8_0","True"
"odoo_community_module__hw_escpos__yodoo_serie__8_0","odoo_community_module__hw_escpos","yodoo_serie__8_0","True"
"odoo_community_module__hw_posbox_homepage__yodoo_serie__8_0","odoo_community_module__hw_posbox_homepage","yodoo_serie__8_0","True"
"odoo_community_module__hw_posbox_upgrade__yodoo_serie__8_0","odoo_community_module__hw_posbox_upgrade","yodoo_serie__8_0","True"
"odoo_community_module__hw_proxy__yodoo_serie__8_0","odoo_community_module__hw_proxy","yodoo_serie__8_0","True"
"odoo_community_module__hw_scale__yodoo_serie__8_0","odoo_community_module__hw_scale","yodoo_serie__8_0","True"
"odoo_community_module__hw_scanner__yodoo_serie__8_0","odoo_community_module__hw_scanner","yodoo_serie__8_0","True"
"odoo_community_module__hw_screen__yodoo_serie__8_0","odoo_community_module__hw_screen","yodoo_serie__8_0","True"
"odoo_community_module__im_chat__yodoo_serie__8_0","odoo_community_module__im_chat","yodoo_serie__8_0","True"
"odoo_community_module__im_livechat__yodoo_serie__8_0","odoo_community_module__im_livechat","yodoo_serie__8_0","True"
"odoo_community_module__im_odoo_support__yodoo_serie__8_0","odoo_community_module__im_odoo_support","yodoo_serie__8_0","True"
"odoo_community_module__knowledge__yodoo_serie__8_0","odoo_community_module__knowledge","yodoo_serie__8_0","True"
"odoo_community_module__l10n_ae__yodoo_serie__8_0","odoo_community_module__l10n_ae","yodoo_serie__8_0","True"
"odoo_community_module__l10n_ar__yodoo_serie__8_0","odoo_community_module__l10n_ar","yodoo_serie__8_0","True"
"odoo_community_module__l10n_at__yodoo_serie__8_0","odoo_community_module__l10n_at","yodoo_serie__8_0","True"
"odoo_community_module__l10n_be__yodoo_serie__8_0","odoo_community_module__l10n_be","yodoo_serie__8_0","True"
"odoo_community_module__l10n_be_coda__yodoo_serie__8_0","odoo_community_module__l10n_be_coda","yodoo_serie__8_0","True"
"odoo_community_module__l10n_be_hr_payroll__yodoo_serie__8_0","odoo_community_module__l10n_be_hr_payroll","yodoo_serie__8_0","True"
"odoo_community_module__l10n_be_hr_payroll_account__yodoo_serie__8_0","odoo_community_module__l10n_be_hr_payroll_account","yodoo_serie__8_0","True"
"odoo_community_module__l10n_be_intrastat__yodoo_serie__8_0","odoo_community_module__l10n_be_intrastat","yodoo_serie__8_0","True"
"odoo_community_module__l10n_be_invoice_bba__yodoo_serie__8_0","odoo_community_module__l10n_be_invoice_bba","yodoo_serie__8_0","True"
"odoo_community_module__l10n_bo__yodoo_serie__8_0","odoo_community_module__l10n_bo","yodoo_serie__8_0","True"
"odoo_community_module__l10n_br__yodoo_serie__8_0","odoo_community_module__l10n_br","yodoo_serie__8_0","True"
"odoo_community_module__l10n_ca__yodoo_serie__8_0","odoo_community_module__l10n_ca","yodoo_serie__8_0","True"
"odoo_community_module__l10n_ch__yodoo_serie__8_0","odoo_community_module__l10n_ch","yodoo_serie__8_0","True"
"odoo_community_module__l10n_cl__yodoo_serie__8_0","odoo_community_module__l10n_cl","yodoo_serie__8_0","True"
"odoo_community_module__l10n_cn__yodoo_serie__8_0","odoo_community_module__l10n_cn","yodoo_serie__8_0","True"
"odoo_community_module__l10n_co__yodoo_serie__8_0","odoo_community_module__l10n_co","yodoo_serie__8_0","True"
"odoo_community_module__l10n_cr__yodoo_serie__8_0","odoo_community_module__l10n_cr","yodoo_serie__8_0","True"
"odoo_community_module__l10n_de__yodoo_serie__8_0","odoo_community_module__l10n_de","yodoo_serie__8_0","True"
"odoo_community_module__l10n_do__yodoo_serie__8_0","odoo_community_module__l10n_do","yodoo_serie__8_0","True"
"odoo_community_module__l10n_ec__yodoo_serie__8_0","odoo_community_module__l10n_ec","yodoo_serie__8_0","True"
"odoo_community_module__l10n_es__yodoo_serie__8_0","odoo_community_module__l10n_es","yodoo_serie__8_0","True"
"odoo_community_module__l10n_et__yodoo_serie__8_0","odoo_community_module__l10n_et","yodoo_serie__8_0","True"
"odoo_community_module__l10n_eu_service__yodoo_serie__8_0","odoo_community_module__l10n_eu_service","yodoo_serie__8_0","True"
"odoo_community_module__l10n_fr__yodoo_serie__8_0","odoo_community_module__l10n_fr","yodoo_serie__8_0","True"
"odoo_community_module__l10n_fr_hr_payroll__yodoo_serie__8_0","odoo_community_module__l10n_fr_hr_payroll","yodoo_serie__8_0","True"
"odoo_community_module__l10n_fr_rib__yodoo_serie__8_0","odoo_community_module__l10n_fr_rib","yodoo_serie__8_0","True"
"odoo_community_module__l10n_gr__yodoo_serie__8_0","odoo_community_module__l10n_gr","yodoo_serie__8_0","True"
"odoo_community_module__l10n_gt__yodoo_serie__8_0","odoo_community_module__l10n_gt","yodoo_serie__8_0","True"
"odoo_community_module__l10n_hn__yodoo_serie__8_0","odoo_community_module__l10n_hn","yodoo_serie__8_0","True"
"odoo_community_module__l10n_hr__yodoo_serie__8_0","odoo_community_module__l10n_hr","yodoo_serie__8_0","True"
